Entity,Code,Day,new_tests_per_thousand_7day_smoothed,142753-annotations,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)",Year,Continent
Zimbabwe,ZWE,2020-05-13,32,tests performed,0.02871,2015,Africa
Zimbabwe,ZWE,2020-05-14,30,tests performed,0.02871,2015,Africa
Zimbabwe,ZWE,2020-05-15,26,tests performed,0.07671,2015,Africa
Zimbabwe,ZWE,2020-05-16,26,tests performed,0.06714,2015,Africa
Zimbabwe,ZWE,2020-05-17,26,tests performed,0.07686,2015,Africa
Zimbabwe,ZWE,2020-05-18,24,tests performed,0.09614,2015,Africa
Zimbabwe,ZWE,2020-05-19,30,tests performed,0.09614,2015,Africa
Zimbabwe,ZWE,2020-05-20,33,tests performed,0.10586,2015,Africa
Zimbabwe,ZWE,2020-05-21,36,tests performed,0.13471,2015,Africa
Zimbabwe,ZWE,2020-05-22,36,tests performed,0.08671,2015,Africa
Zimbabwe,ZWE,2020-05-23,29,tests performed,0.13471,2015,Africa
Zimbabwe,ZWE,2020-05-24,29,tests performed,0.11543,2015,Africa
Zimbabwe,ZWE,2020-05-25,26,tests performed,0.09614,2015,Africa
Zimbabwe,ZWE,2020-05-26,18,tests performed,0.09614,2015,Africa
Zimbabwe,ZWE,2020-05-27,16,tests performed,0.80729,2015,Africa
Zimbabwe,ZWE,2020-05-28,13,tests performed,0.94186,2015,Africa
Zimbabwe,ZWE,2020-05-29,16,tests performed,0.94186,2015,Africa
Zimbabwe,ZWE,2020-05-30,21,tests performed,1.13414,2015,Africa
Zimbabwe,ZWE,2020-05-31,24,tests performed,1.17257,2015,Africa
Zimbabwe,ZWE,2020-06-01,28,tests performed,1.41286,2015,Africa
Zimbabwe,ZWE,2020-06-02,32,tests performed,1.44171,2015,Africa
Zimbabwe,ZWE,2020-06-03,36,tests performed,0.86514,2015,Africa
Zimbabwe,ZWE,2020-06-04,38,tests performed,0.84586,2015,Africa
Zimbabwe,ZWE,2020-06-05,40,tests performed,1.115,2015,Africa
Zimbabwe,ZWE,2020-06-06,37,tests performed,1.00929,2015,Africa
Zimbabwe,ZWE,2020-06-07,33,tests performed,0.99971,2015,Africa
Zimbabwe,ZWE,2020-06-08,31,tests performed,0.80743,2015,Africa
Zimbabwe,ZWE,2020-06-09,28,tests performed,1.03814,2015,Africa
Zimbabwe,ZWE,2020-06-10,27,tests performed,0.942,2015,Africa
Zimbabwe,ZWE,2020-06-11,26,tests performed,0.91314,2015,Africa
Zimbabwe,ZWE,2020-06-12,24,tests performed,0.74971,2015,Africa
Zimbabwe,ZWE,2020-06-13,25,tests performed,0.74014,2015,Africa
Zimbabwe,ZWE,2020-06-14,25,tests performed,0.97086,2015,Africa
Zimbabwe,ZWE,2020-06-15,26,tests performed,0.96129,2015,Africa
Zimbabwe,ZWE,2020-06-16,25,tests performed,0.74014,2015,Africa
Zimbabwe,ZWE,2020-06-17,24,tests performed,0.77857,2015,Africa
Zimbabwe,ZWE,2020-06-18,26,tests performed,1.25914,2015,Africa
Zimbabwe,ZWE,2020-06-19,25,tests performed,1.30729,2015,Africa
Zimbabwe,ZWE,2020-06-20,23,tests performed,1.18229,2015,Africa
Zimbabwe,ZWE,2020-06-21,26,tests performed,1.01886,2015,Africa
Zimbabwe,ZWE,2020-06-22,25,tests performed,1.20143,2015,Africa
Zimbabwe,ZWE,2020-06-23,26,tests performed,1.288,2015,Africa
Zimbabwe,ZWE,2020-06-24,28,tests performed,1.23986,2015,Africa
Zimbabwe,ZWE,2020-06-25,28,tests performed,0.84586,2015,Africa
Zimbabwe,ZWE,2020-06-26,29,tests performed,0.78814,2015,Africa
Zimbabwe,ZWE,2020-06-27,31,tests performed,0.84586,2015,Africa
Zimbabwe,ZWE,2020-06-28,31,tests performed,0.74971,2015,Africa
Zimbabwe,ZWE,2020-06-29,30,tests performed,0.596,2015,Africa
Zimbabwe,ZWE,2020-06-30,30,tests performed,0.63443,2015,Africa
Zimbabwe,ZWE,2020-07-01,27,tests performed,0.721,2015,Africa
Zimbabwe,ZWE,2020-07-02,28,tests performed,0.63443,2015,Africa
Zimbabwe,ZWE,2020-07-03,28,tests performed,0.61514,2015,Africa
Zimbabwe,ZWE,2020-07-04,31,tests performed,1.25914,2015,Africa
Zimbabwe,ZWE,2020-07-05,30,tests performed,1.43214,2015,Africa
Zimbabwe,ZWE,2020-07-06,31,tests performed,1.53786,2015,Africa
Zimbabwe,ZWE,2020-07-07,33,tests performed,1.88386,2015,Africa
Zimbabwe,ZWE,2020-07-08,35,tests performed,2.69129,2015,Africa
Zimbabwe,ZWE,2020-07-09,36,tests performed,2.576,2015,Africa
Zimbabwe,ZWE,2020-07-10,37,tests performed,3.047,2015,Africa
Zimbabwe,ZWE,2020-07-11,34,tests performed,2.72971,2015,Africa
